CLASSES,REGION-CONTINENTE,REGION-CENTROID-ROW,REGION-PIXEL-COUNT,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD
BRICKFACE,4.0,87.0,9,0.11111111,0.0,2.7777777,3.0962942,2.722222,4.3740745
BRICKFACE,149.0,117.0,9,0.22222222,0.0,0.833333,0.2555556,0.9999997,0.44444454
BRICKFACE,79.0,57.0,9,0.0,0.0,1.7222223,1.6185173,1.9444447,1.9740733
BRICKFACE,22.0,60.0,9,0.0,0.0,0.5,0.30000025,1.2777777,0.7296294
BRICKFACE,101.0,72.0,9,0.0,0.0,2.5000002,4.744444,1.7777777,6.296294
BRICKFACE,64.0,74.0,9,0.0,0.0,1.333333,0.5777771,1.3888893,0.9074071
BRICKFACE,140.0,116.0,9,0.0,0.0,0.94444495,0.28518537,0.8888893,0.074074045
BRICKFACE,21.0,53.0,9,0.0,0.0,0.888889,0.5185181,1.1666666,0.43333283
BRICKFACE,26.0,67.0,9,0.11111111,0.0,1.0,0.8888903,2.4444447,3.1851847
BRICKFACE,79.0,95.0,9,0.0,0.0,1.6666666,3.7333338,2.4999993,7.188887
BRICKFACE,75.0,59.0,9,0.0,0.0,1.0555553,0.7740732,2.944445,2.5518503
BRICKFACE,97.0,86.0,9,0.11111111,0.0,1.5000004,0.8333331,3.555556,2.1629639
BRICKFACE,7.0,114.0,9,0.0,0.0,1.1666665,0.78888893,2.1111114,1.2740738
BRICKFACE,4.0,40.0,9,0.0,0.0,1.3333338,2.711112,1.1111115,2.1185184
BRICKFACE,68.0,117.0,9,0.0,0.0,0.44444433,0.20740744,1.611111,2.1518512
BRICKFACE,147.0,69.0,9,0.0,0.0,2.0555556,2.9074075,1.8888897,2.562964
BRICKFACE,134.0,104.0,9,0.0,0.0,2.388889,1.8407409,2.6666663,3.5555563
BRICKFACE,84.0,51.0,9,0.0,0.0,1.7777777,1.6296308,2.6666672,0.88888854
BRICKFACE,10.0,61.0,9,0.11111111,0.0,2.2222219,3.185182,3.1111107,7.185185
BRICKFACE,120.0,108.0,9,0.11111111,0.0,0.611111,0.6407408,0.944444,0.1518519
BRICKFACE,136.0,77.0,9,0.22222222,0.0,1.888889,1.4962952,3.0555556,5.618516
BRICKFACE,145.0,101.0,9,0.11111111,0.0,0.55555534,0.118518576,1.611111,0.5962954
BRICKFACE,8.0,102.0,9,0.0,0.0,1.888889,1.8518513,1.9444443,3.2629614
BRICKFACE,69.0,81.0,9,0.0,0.0,1.833333,2.2111096,1.8333334,1.0111104
BRICKFACE,67.0,64.0,9,0.0,0.0,2.1111107,2.1185186,2.388889,3.440744
BRICKFACE,90.0,101.0,9,0.11111111,0.0,0.8888893,0.3851848,1.7222223,1.8851866
BRICKFACE,125.0,56.0,9,0.0,0.0,2.666666,3.6444438,2.7222216,1.5740722
BRICKFACE,42.0,56.0,9,0.0,0.0,1.0555553,0.95185125,1.333333,1.5999998
BRICKFACE,11.0,108.0,9,0.0,0.0,1.3333335,0.80000025,1.3888888,0.95185167
BRICKFACE,69.0,75.0,9,0.11111111,0.0,2.111111,1.4074076,1.5000004,2.21111
BRICKFACE,2.0,44.0,9,0.0,0.0,2.1666672,2.3888876,2.3888896,1.5296285
BRICKFACE,139.0,86.0,9,0.11111111,0.0,1.4444447,1.2740743,1.222222,1.3185184
BRICKFACE,13.0,103.0,9,0.0,0.0,1.3888888,0.5962964,2.277778,2.1518524
BRICKFACE,89.0,89.0,9,0.0,0.0,1.722222,2.9074073,2.9444447,4.862958
BRICKFACE,96.0,80.0,9,0.11111111,0.0,1.5555557,4.162963,2.5000002,1.9
BRICKFACE,23.0,88.0,9,0.0,0.0,2.0000002,3.2,2.9444447,1.040741
BRICKFACE,24.0,83.0,9,0.0,0.0,2.7777774,4.918518,3.6111107,2.3740723
BRICKFACE,89.0,53.0,9,0.0,0.0,2.1111107,1.7185186,2.8333333,3.0111105
BRICKFACE,97.0,75.0,9,0.0,0.11111111,2.0000002,1.9111089,3.7777777,8.296293
BRICKFACE,90.0,111.0,9,0.0,0.0,1.6666666,1.4666656,1.333333,1.0222224
BRICKFACE,24.0,65.0,9,0.0,0.0,1.2222227,1.7629641,2.333334,2.3555567
BRICKFACE,73.0,103.0,9,0.0,0.0,1.2777773,0.32962978,1.1111107,1.5407397
BRICKFACE,88.0,88.0,9,0.0,0.0,0.833333,0.4777776,2.888889,2.3851826
BRICKFACE,121.0,60.0,9,0.0,0.0,2.277778,2.329629,2.888889,2.8740742
BRICKFACE,91.0,115.0,9,0.11111111,0.0,1.7222223,1.4407418,3.888889,2.8296306
BRICKFACE,27.0,68.0,9,0.0,0.0,1.388889,1.4851855,1.7777777,5.0962973
BRICKFACE,29.0,100.0,9,0.0,0.0,2.2222226,1.3629644,2.6666672,3.6444447
BRICKFACE,23.0,113.0,9,0.0,0.0,0.72222203,0.9962958,2.777778,2.7851818
BRICKFACE,40.0,85.0,9,0.11111111,0.0,1.111111,0.5185188,2.5000007,0.6555552
BRICKFACE,30.0,102.0,9,0.0,0.0,1.2222217,0.11851845,1.333333,0.7999998
BRICKFACE,77.0,78.0,9,0.0,0.0,2.222223,2.3407404,2.0,5.8666697
BRICKFACE,96.0,92.0,9,0.11111111,0.0,3.3333337,2.9777782,1.777778,0.6518514
BRICKFACE,147.0,92.0,9,0.0,0.0,1.111111,0.42963067,1.388889,2.240742
BRICKFACE,42.0,59.0,9,0.0,0.0,1.833333,3.5000002,2.0555553,0.86296284
BRICKFACE,2.0,63.0,9,0.0,0.0,1.2222219,0.5629627,1.4999999,0.7000005
BRICKFACE,31.0,106.0,9,0.0,0.0,1.6111107,0.7296303,0.7222223,1.1740737
BRICKFACE,33.0,104.0,9,0.11111111,0.0,1.5555559,0.96296257,3.0555563,5.040743
BRICKFACE,81.0,98.0,9,0.11111111,0.0,1.2222227,0.42963,1.888889,3.2296317
BRICKFACE,6.0,90.0,9,0.0,0.0,1.9444447,0.5962962,1.3333336,1.8222237
BRICKFACE,76.0,81.0,9,0.11111111,0.0,1.888889,1.6740727,1.3333334,2.3999984
BRICKFACE,145.0,90.0,9,0.0,0.0,1.0,0.5777784,2.0,0.399999
BRICKFACE,133.0,67.0,9,0.0,0.0,1.388889,1.3962967,2.1111114,1.2296311
BRICKFACE,80.0,95.0,9,0.0,0.0,1.2222223,1.0074079,0.944444,0.5518514
BRICKFACE,75.0,107.0,9,0.11111111,0.0,1.1666665,0.34444454,1.7777777,1.5407407
BRICKFACE,123.0,104.0,9,0.0,0.0,2.2777777,2.107407,4.0,2.0000021
BRICKFACE,30.0,56.0,9,0.0,0.0,1.5555553,0.4296295,1.4999996,1.2777773
BRICKFACE,94.0,67.0,9,0.0,0.0,2.5555556,3.3629644,1.5555557,1.1851852
BRICKFACE,89.0,107.0,9,0.11111111,0.0,1.4444445,1.940741,1.8888894,2.740741
BRICKFACE,86.0,88.0,9,0.11111111,0.0,2.055556,1.8851848,1.722222,3.3962944
BRICKFACE,65.0,75.0,9,0.0,0.0,0.611111,0.32963,0.72222203,0.19629599
BRICKFACE,149.0,77.0,9,0.0,0.0,2.111111,3.940742,2.4444447,6.0296316
BRICKFACE,141.0,62.0,9,0.0,0.0,1.888889,2.118518,3.3888886,6.3740745
BRICKFACE,98.0,104.0,9,0.0,0.0,2.2222223,3.6296306,1.4999999,1.3222224
BRICKFACE,23.0,55.0,9,0.0,0.0,2.2222216,3.6740727,1.7777773,0.7851852
BRICKFACE,75.0,75.0,9,0.0,0.0,2.8333337,4.6111126,2.2222223,3.718518
BRICKFACE,89.0,68.0,9,0.0,0.0,4.055556,3.0407388,2.3888886,1.2185171
BRICKFACE,38.0,41.0,9,0.11111111,0.0,1.7777777,1.6740736,1.6666666,1.7777781
BRICKFACE,76.0,64.0,9,0.0,0.0,2.2222223,5.4962974,2.8888884,4.3407397
BRICKFACE,25.0,116.0,9,0.0,0.0,0.94444484,0.1518519,4.777777,3.0962973
BRICKFACE,6.0,51.0,9,0.0,0.0,1.6666666,1.9999989,1.611111,2.1074073
BRICKFACE,32.0,45.0,9,0.0,0.0,2.2777777,3.1740727,3.2777777,1.44074
BRICKFACE,149.0,64.0,9,0.0,0.0,1.4999996,1.1444446,1.3888887,0.46296337
BRICKFACE,29.0,81.0,9,0.11111111,0.0,2.6111107,3.7518525,2.7222216,3.7518525
BRICKFACE,2.0,98.0,9,0.0,0.0,2.0,0.6666667,1.055555,0.5518528
BRICKFACE,2.0,89.0,9,0.0,0.0,1.2222224,1.7629623,2.5555556,3.4962957
BRICKFACE,85.0,70.0,9,0.0,0.0,1.2777777,0.7296302,1.8333334,1.1444422
BRICKFACE,70.0,71.0,9,0.11111111,0.0,2.1111119,1.8074061,2.8333333,2.077779
BRICKFACE,69.0,59.0,9,0.0,0.0,1.2777773,0.9518511,2.055555,1.4851853
BRICKFACE,14.0,66.0,9,0.0,0.0,1.5555553,1.0074071,1.5,1.0111104
BRICKFACE,127.0,120.0,9,0.11111111,0.0,1.6666666,0.8444448,3.222222,4.0296273
BRICKFACE,35.0,42.0,9,0.11111111,0.0,1.0555559,0.1518514,1.388889,0.5074066
BRICKFACE,70.0,60.0,9,0.0,0.0,0.94444466,1.3962969,2.166666,1.3666676
BRICKFACE,12.0,56.0,9,0.22222222,0.0,1.2222223,0.20740713,1.3333336,1.0222219
BRICKFACE,149.0,92.0,9,0.0,0.0,1.2222223,0.5629636,2.3333333,3.822222
BRICKFACE,80.0,116.0,9,0.0,0.0,1.5,1.6333328,1.5555557,0.87407404
BRICKFACE,98.0,119.0,9,0.22222222,0.0,1.4444447,0.51851857,2.5555556,5.585183
BRICKFACE,35.0,96.0,9,0.11111111,0.0,2.1111114,1.0074071,2.833333,3.855554
BRICKFACE,136.0,70.0,9,0.0,0.0,1.0,0.31111133,1.7222223,2.196296
BRICKFACE,19.0,63.0,9,0.0,0.0,1.2777777,1.5740732,2.1111114,3.096295
BRICKFACE,75.0,103.0,9,0.11111111,0.0,1.3888893,1.5296303,1.8888887,1.0962957
BRICKFACE,67.0,118.0,9,0.0,0.0,1.111111,0.38518602,2.2777777,4.2851844
BRICKFACE,133.0,96.0,9,0.11111111,0.0,1.0000004,1.0222217,2.777778,3.3629608
BRICKFACE,31.0,62.0,9,0.0,0.0,1.8333336,0.83333385,1.8333334,0.9666677
BRICKFACE,78.0,107.0,9,0.0,0.0,0.8333332,0.65555614,1.6111108,1.92963
BRICKFACE,101.0,80.0,9,0.0,0.0,3.5555553,1.8518513,3.0,3.8666666
BRICKFACE,141.0,68.0,9,0.0,0.0,1.4444443,1.0074081,2.1666667,0.8777791
BRICKFACE,66.0,101.0,9,0.11111111,0.0,0.7222226,0.32962933,2.2222223,0.6518524
BRICKFACE,26.0,91.0,9,0.11111111,0.0,2.0,2.177777,2.5555556,2.1629624
BRICKFACE,22.0,116.0,9,0.0,0.0,0.38888875,0.10740741,0.33333325,0.13333334
BRICKFACE,147.0,111.0,9,0.0,0.0,0.38888893,0.1518518,0.4444445,0.118518546
BRICKFACE,28.0,131.0,9,0.0,0.0,0.22222216,0.074074045,0.77777773,0.20740731
BRICKFACE,100.0,124.0,9,0.0,0.0,0.27777767,0.06296294,0.99999994,0.4444444
BRICKFACE,178.0,122.0,9,0.0,0.0,0.5555555,0.11851845,0.7777776,0.11851851
BRICKFACE,216.0,126.0,9,0.0,0.0,0.5555555,0.20740744,0.5555556,0.07407395
BRICKFACE,201.0,135.0,9,0.0,0.0,0.5555555,0.29629624,0.888889,0.074073985
BRICKFACE,108.0,123.0,9,0.0,0.0,0.6111112,0.24074072,0.66666675,0.26666668
BRICKFACE,76.0,135.0,9,0.0,0.0,0.4444445,0.11851851,0.8333333,0.1222222
BRICKFACE,65.0,143.0,9,0.0,0.0,0.3333334,0.13333334,0.4444445,0.074074075
BRICKFACE,120.0,136.0,9,0.0,0.0,0.61111116,0.4185187,1.0000001,0.4444444
BRICKFACE,238.0,118.0,9,0.0,0.0,0.33333325,0.17777774,0.77777773,0.07407411
BRICKFACE,146.0,140.0,9,0.0,0.0,1.0555557,0.4629631,1.0000001,0.57777774
BRICKFACE,37.0,126.0,9,0.0,0.0,0.38888898,0.06296298,0.4444445,0.25185186
BRICKFACE,240.0,145.0,9,0.0,0.0,0.38888896,0.15185192,0.50000006,0.12222223
BRICKFACE,29.0,111.0,9,0.0,0.0,0.38888884,0.24074061,0.6111111,0.15185188
BRICKFACE,38.0,146.0,9,0.0,0.0,0.4999999,0.12222217,0.6666667,0.26666668
BRICKFACE,33.0,117.0,9,0.0,0.0,0.5,0.12222214,1.0,0.31111106
BRICKFACE,60.0,131.0,9,0.0,0.0,0.33333334,0.088888854,0.33333325,0.08888887
BRICKFACE,23.0,147.0,9,0.0,0.0,0.33333337,0.13333334,0.72222215,0.41851825
BRICKFACE,29.0,111.0,9,0.0,0.0,0.38888884,0.24074061,0.6111111,0.15185188
BRICKFACE,107.0,129.0,9,0.0,0.0,0.55555564,0.56296325,0.8888889,0.8740743
BRICKFACE,30.0,124.0,9,0.0,0.0,0.6111111,0.10740735,0.611111,0.10740747
BRICKFACE,32.0,113.0,9,0.0,0.0,0.50000006,0.07777767,0.27777782,0.15185188
BRICKFACE,217.0,145.0,9,0.0,0.0,0.5555556,0.16296291,0.72222215,0.06296298
BRICKFACE,28.0,112.0,9,0.0,0.0,0.72222215,0.41851833,0.5555555,0.16296297
BRICKFACE,183.0,111.0,9,0.0,0.0,0.6666667,0.31111106,1.0555555,0.50740737
BRICKFACE,154.0,128.0,9,0.0,0.0,0.5,0.30000007,0.33333325,0.044444434
BRICKFACE,117.0,147.0,9,0.0,0.0,0.6111111,0.10740735,0.77777785,0.5629629
BRICKFACE,96.0,115.0,9,0.0,0.0,0.38888893,0.15185183,0.33333334,0.17777777
CEMENT,49.0,42.0,9,0.0,0.0,2.6111107,0.92895794,1.333334,0.8944278
CEMENT,188.0,73.0,9,0.0,0.0,1.0555553,0.9289579,2.2777786,1.9935083
CEMENT,139.0,95.0,9,0.0,0.0,3.6111107,2.524692,7.0555553,5.724864
CEMENT,92.0,70.0,9,0.11111111,0.0,1.1111107,1.3608265,0.7777767,0.65546083
CEMENT,169.0,117.0,9,0.0,0.0,1.222222,0.6206324,1.111111,1.2938602
CEMENT,63.0,19.0,9,0.0,0.0,2.4444447,1.1863403,1.4444447,0.8861062
CEMENT,69.0,68.0,9,0.0,0.0,0.83333206,0.8628117,0.7777774,0.5837293
CEMENT,151.0,89.0,9,0.0,0.0,8.388889,4.577317,0.72222203,0.38968238
CEMENT,170.0,159.0,9,0.11111111,0.0,2.2777777,1.420746,1.611111,1.1816499
CEMENT,180.0,116.0,9,0.0,0.0,2.9444456,1.611303,1.333333,0.81649673
CEMENT,58.0,109.0,9,0.0,0.0,1.1666666,0.6236098,1.0555553,0.49065349
CEMENT,191.0,101.0,9,0.0,0.0,1.111112,0.7793635,1.1111113,1.186342
CEMENT,24.0,15.0,9,0.0,0.0,0.8333346,0.6912141,1.1111107,0.54432976
CEMENT,152.0,98.0,9,0.0,0.0,7.0000014,3.8873014,1.0555559,0.7722023
CEMENT,44.0,50.0,9,0.0,0.0,1.1666673,0.96032333,1.0555573,0.389682
CEMENT,105.0,69.0,9,0.0,0.0,2.5000012,1.5311582,1.8333327,1.4719604
CEMENT,27.0,57.0,9,0.11111111,0.0,0.7222226,0.32772803,0.7222226,0.3896791
CEMENT,52.0,33.0,9,0.0,0.0,13.888889,13.024195,0.277778,0.2509246
CEMENT,45.0,67.0,9,0.0,0.0,0.6666673,0.2981413,1.055554,0.64692926
CEMENT,72.0,32.0,9,0.11111111,0.11111111,3.9444447,2.7032225,2.277778,1.9710876
CEMENT,142.0,119.0,9,0.0,0.0,5.277778,0.85418415,1.0555553,0.6116157
CEMENT,244.0,134.0,9,0.11111111,0.0,2.1111126,1.1287498,1.0000006,0.7302964
CEMENT,118.0,111.0,9,0.0,0.0,1.2222227,1.0470412,0.55555534,0.27216536
CEMENT,78.0,85.0,9,0.0,0.0,5.4999995,2.105549,6.4999995,4.5983086
CEMENT,2.0,95.0,9,0.11111111,0.0,2.0555565,1.3402592,0.88889056,0.91084033
CEMENT,114.0,145.0,9,0.11111111,0.0,2.166666,1.3123348,0.99999934,0.6992059
CEMENT,141.0,17.0,9,0.11111111,0.22222222,3.7222226,4.4493027,5.0,2.319004
CEMENT,22.0,125.0,9,0.0,0.0,2.277778,1.8063672,2.4444447,1.3443986
CEMENT,229.0,102.0,9,0.0,0.0,0.88888866,0.7200823,7.944444,5.425934
CEMENT,230.0,117.0,9,0.0,0.0,3.2777786,0.92895794,1.4444433,0.86066324
CEMENT,80.0,77.0,9,0.0,0.0,1.388888,1.0628399,0.6666667,0.5577739
CEMENT,248.0,103.0,9,0.0,0.0,0.9444434,0.57413447,1.1111113,0.9349196
CEMENT,228.0,22.0,9,0.0,0.0,1.1111107,0.8606628,1.3888887,0.9756292
CEMENT,228.0,42.0,9,0.11111111,0.0,2.055556,1.5551584,4.333334,2.2310944
CEMENT,109.0,111.0,9,0.0,0.0,1.4444447,1.0886633,1.5000006,1.471961
CEMENT,19.0,62.0,9,0.0,0.0,11.222222,0.8860996,0.6666667,0.36514628
CEMENT,78.0,128.0,9,0.0,0.0,1.1666673,0.88819444,1.388888,1.1238163
CEMENT,170.0,121.0,9,0.0,0.0,2.166667,1.8348485,2.7222223,1.9254632
CEMENT,58.0,48.0,9,0.0,0.0,2.277778,0.250925,0.27777734,0.25092447
CEMENT,179.0,133.0,9,0.0,0.0,2.3888886,2.3796985,0.8888893,0.7503084
CEMENT,103.0,65.0,9,0.0,0.0,1.277778,1.0835457,1.2222214,0.91083974
CEMENT,114.0,129.0,9,0.11111111,0.0,2.055556,1.1434174,0.77777606,0.88610685
CEMENT,11.0,62.0,9,0.0,0.0,0.88889056,0.5018489,0.72222394,0.3896814
CEMENT,41.0,101.0,9,0.0,0.0,1.7222214,0.9289575,2.0555542,1.5551577
CEMENT,121.0,102.0,9,0.11111111,0.0,2.9444435,1.8549231,1.222222,0.86066246
CEMENT,220.0,111.0,9,0.0,0.0,2.555555,1.6555178,2.2777774,1.5974522
CEMENT,219.0,132.0,9,0.0,0.0,1.4444447,0.65546167,1.1111107,0.7503098
CEMENT,241.0,70.0,9,0.0,0.0,1.0555559,0.71232605,4.1111107,2.7541208
CEMENT,186.0,98.0,9,0.0,0.0,1.2777783,1.1816506,5.944444,3.0798028
CEMENT,209.0,70.0,9,0.0,0.11111111,2.222223,1.8216797,8.777778,3.4619644
CEMENT,54.0,133.0,9,0.0,0.0,4.3888893,1.705111,1.2777773,1.2186816
CEMENT,91.0,64.0,9,0.0,0.0,0.94444466,0.71232474,1.0555559,1.0201671
CEMENT,22.0,87.0,9,0.0,0.0,1.8888899,1.2590423,1.1666666,0.62361073
CEMENT,87.0,146.0,9,0.0,0.0,0.944444,0.6116159,5.111111,4.712474
CEMENT,54.0,126.0,9,0.11111111,0.0,2.7777774,2.6970487,3.3888886,2.2746582
CEMENT,38.0,94.0,9,0.11111111,0.0,1.3888906,1.0417213,0.88888806,0.7793629
CEMENT,147.0,34.0,9,0.0,0.0,4.611111,4.154872,0.7777786,0.7793621
CEMENT,112.0,38.0,9,0.0,0.0,11.055554,11.074329,1.111112,1.0680542
CEMENT,151.0,101.0,9,0.0,0.0,9.611111,6.5367904,0.5,0.34960347
CEMENT,169.0,131.0,9,0.0,0.0,2.3888886,1.8668654,9.222222,2.1152062
CEMENT,70.0,38.0,9,0.0,0.0,1.2222227,0.2721662,1.0000006,0.76011634
CEMENT,47.0,96.0,9,0.0,0.0,0.94444466,0.5741338,0.8333333,0.75277233
CEMENT,109.0,100.0,9,0.0,0.0,0.944444,0.49065506,0.44444466,0.40368706
CEMENT,136.0,45.0,9,0.0,0.0,1.222222,1.5444059,2.0555553,1.5263131
CEMENT,93.0,67.0,9,0.0,0.0,1.7222208,1.3891102,1.4999994,1.1879022
CEMENT,53.0,42.0,9,0.0,0.0,3.2777774,0.71232545,0.611111,0.534027
CEMENT,191.0,107.0,9,0.0,0.0,2.0555553,1.5263124,10.333333,3.0110908
CEMENT,39.0,17.0,9,0.0,0.0,1.1111107,1.0886621,0.88889056,0.8073737
CEMENT,19.0,102.0,9,0.0,0.0,3.88889,1.5006163,1.1666666,0.62360954
CEMENT,92.0,89.0,9,0.0,0.0,1.9999994,1.2649107,1.2222214,0.95839226
CEMENT,79.0,28.0,9,0.0,0.0,4.277777,3.7618961,0.8333333,0.6582806
CEMENT,116.0,125.0,9,0.0,0.0,2.8333333,0.7226492,2.0555546,0.5741333
CEMENT,109.0,76.0,9,0.0,0.0,1.5000006,0.69121444,0.3888887,0.32773072
CEMENT,32.0,88.0,9,0.0,0.0,0.83333206,0.34960276,1.111112,0.72008145
CEMENT,113.0,123.0,9,0.11111111,0.0,1.4444441,0.6206331,1.9444441,1.7180963
CEMENT,118.0,21.0,9,0.0,0.0,4.8333344,4.5740814,1.277778,1.0628413
CEMENT,238.0,73.0,9,0.0,0.0,2.277776,1.4050171,1.5,0.7817362
CEMENT,178.0,25.0,9,0.0,0.0,0.7222214,0.32773143,1.5555559,1.2412641
CEMENT,227.0,44.0,9,0.11111111,0.0,0.55555534,0.403687,1.6111094,0.99814636
CEMENT,24.0,93.0,9,0.0,0.0,1.6111094,0.7722033,2.0555553,1.7309806
